6124
disgust scream smile squint surprise neutral
train_0001.jpg -1 -1 -1 -1 -1 1
train_0002.jpg -1 -1 -1 1 -1 -1
train_0003.jpg -1 1 -1 -1 -1 -1
train_0004.jpg -1 1 -1 -1 -1 -1
train_0005.jpg -1 -1 -1 1 -1 -1
train_0006.jpg 1 -1 -1 -1 -1 -1
train_0007.jpg -1 -1 -1 -1 -1 1
train_0008.jpg -1 -1 -1 -1 -1 1
train_0009.jpg -1 -1 -1 -1 -1 1
train_0010.jpg -1 -1 1 -1 -1 -1
train_0011.jpg -1 1 -1 -1 -1 -1
train_0012.jpg -1 -1 -1 -1 1 -1
train_0013.jpg -1 -1 -1 -1 -1 1
train_0014.jpg -1 1 -1 -1 -1 -1
train_0015.jpg -1 -1 1 -1 -1 -1
train_0016.jpg -1 -1 -1 1 -1 -1
train_0017.jpg -1 -1 1 -1 -1 -1
train_0018.jpg -1 -1 -1 -1 -1 1
train_0019.jpg 1 -1 -1 -1 -1 -1
train_0020.jpg 1 -1 -1 -1 -1 -1
train_0021.jpg -1 -1 -1 -1 -1 1
train_0022.jpg -1 -1 1 -1 -1 -1
train_0023.jpg -1 -1 -1 -1 -1 1
train_0024.jpg -1 -1 -1 1 -1 -1
train_0025.jpg 1 -1 -1 -1 -1 -1
train_0026.jpg -1 -1 -1 -1 1 -1
train_0027.jpg 1 -1 -1 -1 -1 -1
train_0028.jpg -1 -1 1 -1 -1 -1
train_0029.jpg -1 -1 1 -1 -1 -1
train_0030.jpg -1 -1 -1 1 -1 -1
train_0031.jpg -1 -1 -1 1 -1 -1
train_0032.jpg -1 -1 -1 -1 -1 1
train_0033.jpg -1 -1 -1 -1 -1 1
train_0034.jpg -1 -1 1 -1 -1 -1
train_0035.jpg -1 -1 -1 -1 -1 1
train_0036.jpg -1 -1 -1 -1 -1 1
train_0037.jpg -1 -1 -1 -1 1 -1
train_0038.jpg -1 1 -1 -1 -1 -1
train_0039.jpg -1 -1 1 -1 -1 -1
train_0040.jpg 1 -1 -1 -1 -1 -1
train_0041.jpg -1 -1 -1 -1 1 -1
train_0042.jpg -1 -1 -1 1 -1 -1
train_0043.jpg -1 -1 -1 -1 -1 1
train_0044.jpg -1 -1 -1 -1 -1 1
